[2026-08-05 15:28:11.056] [INFO   ] [JuggManagerCreator] Start Init Jugg by embedded on /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-05 15:28:11.060] [FINE   ] [JuggServer] init finished, version: 3.0.35-release, projectId: bayshier, userName: Easin, requestToken: a9d90c78, serverUrl: http://sickworm.com:12305
[2026-08-05 15:28:11.060] [FINE   ] [JuggServerChooser] isForce=true, update server.
[2026-08-05 15:28:11.060] [FINE   ] [JuggServerChooser] Update server rules: [ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com), ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)]
[2026-08-05 15:28:11.060] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com)
[2026-08-05 15:28:11.061] [INFO   ] [ConstRefEngine] ConstRefEngine io throttle enabled, fullScan=3000ms/50files, fileChange=500ms/200files, preCompile=0ms/1files, onDemand=0ms/1files
[2026-08-05 15:28:11.062] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-05 15:28:11.063] [FINE   ] [JuggManager] job <Init Jugg> waiting for TaskRunnerManager lock, thread=ApplicationImpl pooled thread 1
[2026-08-05 15:28:11.063] [FINE   ] [JuggManager] job <Init Jugg> acquired TaskRunnerManager lock, waitCost=0ms
[2026-08-05 15:28:11.063] [FINE   ] [JuggManager] job <Init Jugg> start
[2026-08-05 15:28:11.063] [FINE   ] [AsDeployerCompat] IDE version: IdeVersion(name=Android Studio Quail 3 | 2026.1.3, type=AI, mainVersion=261.26222.65, fullVersion=261.26222.65.2613.15948027)
[2026-08-05 15:28:11.063] [WARNING] [AsDeployerCompat] Bad! IDE version higher than IdeVersion(name=Android Studio Quail, type=AI, mainVersion=261.23567.138, fullVersion=261.23567.138), use this for compat, good luck.
[2026-08-05 15:28:11.063] [FINE   ] [CustomConfigManager] Custom config changed from null to 0_1784859917139, reload it.
[2026-08-05 15:28:11.066] [FINE   ] [CustomConfigManager] Load default custom config: ProjectCustomConfig(servers=null, buildFileList=[], buildFileRules=[], dontFilterIgnoredFileRules=[], moduleCustomConfigs=[], customCompilers=null, embeddedApksSearchRules=null)
[2026-08-05 15:28:11.067] [FINE   ] [FileChangesHandler] updateBuildFileRules: [], doNotIgnoreModulePaths: []
[2026-08-05 15:28:11.067] [FINE   ] [CustomCompilerManager] updateCustomCompilers null
[2026-08-05 15:28:11.068] [FINE   ] [JuggServerChooser] Update server rules: [ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com), ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)]
[2026-08-05 15:28:11.068] [FINE   ] [CustomCompilerManager] updateCustomCompilers with null config, exit.
[2026-08-05 15:28:11.068] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com)
[2026-08-05 15:28:11.068] [FINE   ] [JuggManager] JuggConfigurationType currentList: []
[2026-08-05 15:28:11.068] [FINE   ] [JuggManager] Suggest run configurations: []
[2026-08-05 15:28:11.068] [FINE   ] [JuggManager] No suggest run configuration
[2026-08-05 15:28:11.068] [FINE   ] [ProjectInfoReader] IDE version: IdeVersion(name=Android Studio Quail 3 | 2026.1.3, type=AI, mainVersion=261.26222.65, fullVersion=261.26222.65.2613.15948027)
[2026-08-05 15:28:11.068] [FINE   ] [ProjectInfoReader] plugin info: Version: 3.0.35-release, Compile-Date: 2026-07-23 19:24:21, Compile-Timestamp: 1784805861931, 
[2026-08-05 15:28:11.069] [FINE   ] [ProjectInfoReader] os.name: Mac OS X, os.version: 26.5.2
[2026-08-05 15:28:11.069] [FINE   ] [ProjectInfoReader] Idea JVM version: [25, 0, 2]
[2026-08-05 15:28:11.069] [FINE   ] [ProjectInfoReader] gradleDistributionUrl: [file not found]
[2026-08-05 15:28:11.069] [FINE   ] [ProjectInfoReader] systemPath: /Users/radar/Library/Caches/Google/AndroidStudio2026.1.3
[2026-08-05 15:28:11.069] [FINE   ] [ProjectInfoReader] device MIN API: 26
[2026-08-05 15:28:11.069] [FINE   ] [ProjectInfoReader] printProjectInfo cost: 1 ms
[2026-08-05 15:28:11.070] [FINE   ] [DeployHistoryManager] checkProjectDirChanged, historyProjectDir: /Users/radar/Downloads/gitlab127001/bayshier, realProjectDir: /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-05 15:28:11.070] [FINE   ] [DeployHistoryManager] Project dir is not changed, continue to recover from deploy history later
[2026-08-05 15:28:11.070] [INFO   ] [JuggManager] Start jugg finished.
[2026-08-05 15:28:11.070] [FINE   ] [JuggManager] Checking updates...
[2026-08-05 15:28:11.070] [FINE   ] [JuggManager] JuggDeploymentService.preInit, cost 0ms
[2026-08-05 15:28:11.070] [FINE   ] [JuggManager] job <Init Jugg> finished, cost 7ms
[2026-08-05 15:28:11.114] [FINE   ] [JuggServer] check update response: [200] {"latestVersion":"3.2.2-release","isNeedUpgrade":false,"downloadUrl":"https://jugg.sickworm.com/download_page","templateList":[],"notification":null,"customConfigJson":{"servers":null,"buildFileList":[],"buildFileRules":[],"dontFilterIgnoredFileRules":[],"moduleCustomConfigs":[],"customCompilers":null}}
[2026-08-05 15:28:11.114] [FINE   ] [CheckUpdateHandler] Check update result: VersionData(latestVersion=3.2.2-release, isNeedUpgrade=false, downloadUrl=https://jugg.sickworm.com/download_page, templateList=[], notification=null, customConfigJson=ProjectCustomConfig(servers=null, buildFileList=[], buildFileRules=[], dontFilterIgnoredFileRules=[], moduleCustomConfigs=[], customCompilers=null, embeddedApksSearchRules=null))
[2026-08-05 15:28:11.114] [FINE   ] [CustomConfigManager] No need to update default custom config.
[2026-08-05 15:28:11.115] [FINE   ] [JuggHotUpdateDownloader] notifyHotUpdateIfNeeded false
[2026-08-05 15:28:11.115] [FINE   ] [JuggHotUpdateDownloader] notifyInstallUpdateIfNeeded false
[2026-08-05 15:28:11.146] [FINE   ] [JuggServer] report Init Jugg response: [200] 2369524
[2026-08-05 15:28:11.292] [FINE   ] [JuggManager] job <Init project info> waiting for TaskRunnerManager lock, thread=ApplicationImpl pooled thread 10
[2026-08-05 15:28:11.293] [FINE   ] [JuggManager] job <Init project info> acquired TaskRunnerManager lock, waitCost=1ms
[2026-08-05 15:28:11.293] [FINE   ] [JuggManager] job <Init project info> start
[2026-08-05 15:28:11.293] [FINE   ] [JuggManager] Start recover deploy context
[2026-08-05 15:28:11.300] [FINE   ] [DeployHistoryManager] tryGetContextRecoverInfoFromDb recover feature is available
[2026-08-05 15:28:11.300] [FINE   ] [DeployHistoryManager] getChangedFilesSinceLastFullCompiled isOnInit true
[2026-08-05 15:28:11.303] [INFO   ] [DeployHistoryManager] Project has not been commit yet, fullCompileGitCommitHash is null, need full compile first.
[2026-08-05 15:28:11.303] [FINE   ] [DeployHistoryManager] No compile context db found
[2026-08-05 15:28:11.303] [FINE   ] [DeployHistoryManager] tryGetContextRecoverInfoFromDb, changedFiles: null, cost: 3ms; compileContextInfo: null, cost: 0ms; deployedFiles: null,  cost: 0ms.
[2026-08-05 15:28:11.303] [FINE   ] [DeployHistoryManager] getChangedFilesSinceLastFullCompiled failed, return null
[2026-08-05 15:28:11.303] [FINE   ] [JuggManager] Can not recover from deploy history, please run gradle compile first
[2026-08-05 15:28:11.303] [FINE   ] [JuggManager] job <Init project info> finished, cost 10ms
[2026-08-05 15:28:11.389] [FINE   ] [JuggServer] report Init project info response: [200] 2369525
[2026-08-05 15:28:13.435] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-05 15:28:15.728] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-05 15:28:16.061] [FINE   ] [JuggServerChooser] wormchen-any1.devcloud.woa.com is not reachable
[2026-08-05 15:28:16.061] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)
[2026-08-05 15:28:16.061] [FINE   ] [JuggServerChooser] Choose server http://sickworm.com:12305 for no check condition.
[2026-08-05 15:28:16.061] [FINE   ] [JuggServerChooser] No need update server, still use http://sickworm.com:12305
[2026-08-05 15:28:16.069] [FINE   ] [JuggServerChooser] wormchen-any1.devcloud.woa.com is not reachable
[2026-08-05 15:28:16.069] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)
[2026-08-05 15:28:16.069] [FINE   ] [JuggServerChooser] Choose server http://sickworm.com:12305 for no check condition.
[2026-08-05 15:28:16.069] [FINE   ] [JuggServerChooser] No need update server, still use http://sickworm.com:12305
[2026-08-05 15:28:20.807] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-05 15:28:21.072] [FINE   ] [JuggManager] background job <Auto update Jugg CLI> start
[2026-08-05 15:28:21.072] [FINE   ] [JuggCliAutoUpdater] Already auto-update check
[2026-08-05 15:28:21.076] [FINE   ] [JuggManager] background job <Auto update Jugg CLI> finished, cost 4ms
[2026-08-05 15:29:45.090] [INFO   ] [JuggManagerCreator] Release Jugg on /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-05 15:29:45.091] [FINE   ] [JuggManager] project /Users/radar/Downloads/gitlab127001/bayshier dispose
