[2026-08-06 13:42:59.131] [INFO   ] [JuggManagerCreator] Start Init Jugg by embedded on /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-06 13:42:59.136] [FINE   ] [JuggServer] init finished, version: 3.1.1-release, projectId: bayshier, userName: Easin, requestToken: a9d90c78, serverUrl: http://sickworm.com:12305
[2026-08-06 13:42:59.136] [FINE   ] [JuggServerChooser] isForce=true, update server.
[2026-08-06 13:42:59.137] [FINE   ] [JuggServerChooser] Update server rules: [ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com), ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)]
[2026-08-06 13:42:59.137] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com)
[2026-08-06 13:42:59.138] [INFO   ] [ConstRefEngine] ConstRefEngine io throttle enabled, fullScan=3000ms/50files, fileChange=500ms/200files, preCompile=0ms/1files, onDemand=0ms/1files
[2026-08-06 13:42:59.140] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-06 13:42:59.140] [FINE   ] [JuggManager] job <Init Jugg> waiting for TaskRunnerManager lock, thread=ApplicationImpl pooled thread 2
[2026-08-06 13:42:59.140] [FINE   ] [JuggManager] job <Init Jugg> acquired TaskRunnerManager lock, waitCost=0ms
[2026-08-06 13:42:59.140] [FINE   ] [JuggManager] job <Init Jugg> start
[2026-08-06 13:42:59.140] [FINE   ] [AsDeployerCompat] IDE version: IdeVersion(name=Android Studio Quail 3 | 2026.1.3, type=AI, mainVersion=261.26222.65, fullVersion=261.26222.65.2613.15948027)
[2026-08-06 13:42:59.140] [WARNING] [AsDeployerCompat] Bad! IDE version higher than IdeVersion(name=Android Studio Quail, type=AI, mainVersion=261.23567.138, fullVersion=261.23567.138), use this for compat, good luck.
[2026-08-06 13:42:59.141] [FINE   ] [CustomConfigManager] Custom config changed from null to 0_1784859917139, reload it.
[2026-08-06 13:42:59.141] [FINE   ] [CustomConfigManager] Load default custom config: ProjectCustomConfig(servers=null, buildFileList=[], buildFileRules=[], dontFilterIgnoredFileRules=[], moduleCustomConfigs=[], customCompilers=null, embeddedApksSearchRules=null)
[2026-08-06 13:42:59.141] [FINE   ] [FileChangesHandler] updateBuildFileRules: [], doNotIgnoreModulePaths: []
[2026-08-06 13:42:59.141] [FINE   ] [CustomCompilerManager] updateCustomCompilers null
[2026-08-06 13:42:59.141] [FINE   ] [CustomCompilerManager] updateCustomCompilers with null config, exit.
[2026-08-06 13:42:59.141] [FINE   ] [JuggManager] JuggConfigurationType currentList: []
[2026-08-06 13:42:59.141] [FINE   ] [JuggManager] Suggest run configurations: []
[2026-08-06 13:42:59.142] [FINE   ] [JuggManager] No suggest run configuration
[2026-08-06 13:42:59.142] [FINE   ] [ProjectInfoReader] IDE version: IdeVersion(name=Android Studio Quail 3 | 2026.1.3, type=AI, mainVersion=261.26222.65, fullVersion=261.26222.65.2613.15948027)
[2026-08-06 13:42:59.142] [FINE   ] [ProjectInfoReader] plugin info: Version: 3.1.1-release, Compile-Date: 2026-07-27 17:13:48, Compile-Timestamp: 1785143628821, 
[2026-08-06 13:42:59.142] [FINE   ] [JuggServerChooser] Update server rules: [ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com), ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)]
[2026-08-06 13:42:59.142] [FINE   ] [ProjectInfoReader] os.name: Mac OS X, os.version: 26.5.2
[2026-08-06 13:42:59.142] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com)
[2026-08-06 13:42:59.142] [FINE   ] [ProjectInfoReader] Idea JVM version: [25, 0, 2]
[2026-08-06 13:42:59.142] [FINE   ] [ProjectInfoReader] gradleDistributionUrl: [file not found]
[2026-08-06 13:42:59.142] [FINE   ] [ProjectInfoReader] systemPath: /Users/radar/Library/Caches/Google/AndroidStudio2026.1.3
[2026-08-06 13:42:59.142] [FINE   ] [ProjectInfoReader] device MIN API: 26
[2026-08-06 13:42:59.143] [FINE   ] [ProjectInfoReader] printProjectInfo cost: 1 ms
[2026-08-06 13:42:59.143] [FINE   ] [DeployHistoryManager] checkProjectDirChanged, historyProjectDir: /Users/radar/Downloads/gitlab127001/bayshier, realProjectDir: /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-06 13:42:59.143] [FINE   ] [DeployHistoryManager] Project dir is not changed, continue to recover from deploy history later
[2026-08-06 13:42:59.144] [INFO   ] [JuggManager] Start jugg finished.
[2026-08-06 13:42:59.144] [FINE   ] [JuggManager] Checking updates...
[2026-08-06 13:42:59.144] [FINE   ] [JuggManager] job <Init Jugg> finished, cost 4ms
[2026-08-06 13:42:59.144] [FINE   ] [JuggManager] JuggDeploymentService.preInit, cost 0ms
